bootstrap_replicate,sample_size,active_count,inactive_count,classifier,traditional_AUROC,esm2_AUROC,delta_AUROC,traditional_AUPRC,esm2_AUPRC,delta_AUPRC,traditional_MCC,esm2_MCC,delta_MCC,traditional_F1,esm2_F1,delta_F1
3497,181,20,161,Random Forest,0.9566770186335404,0.9916149068322981,0.03493788819875776,0.6958231453966481,0.9478700043917435,0.2520468589950954,0.718944099378882,0.7588665789385283,0.03992247955964623,0.75,0.7755102040816326,0.025510204081632626
3497,181,20,161,XGBoost,0.9891304347826088,0.993167701863354,0.004037267080745255,0.9256071746880571,0.9567355058734368,0.03112833118537972,0.8293528601186808,0.862809297961903,0.033456437843222164,0.8444444444444444,0.8780487804878049,0.03360433604336044
3498,181,20,161,Logistic Regression,0.9618012422360248,0.970807453416149,0.009006211180124235,0.7005688602984619,0.77428056156742,0.0737117012689581,0.7073507373025469,0.8069095487838845,0.0995588114813376,0.7142857142857143,0.8163265306122449,0.10204081632653061
3498,181,20,161,RBF-SVM,0.9692546583850932,0.9760869565217392,0.006832298136645987,0.734542787331407,0.8268055555555556,0.09226276822414858,0.7588665789385283,0.7752947487926833,0.016428169854155072,0.7755102040816326,0.7843137254901961,0.008803521408563442
3498,181,20,161,Random Forest,0.9572981366459626,0.9885093167701863,0.031211180124223636,0.616323902014439,0.9228435672514621,0.3065196652370231,0.7264224849048023,0.7605367506362352,0.034114265731432836,0.75,0.7692307692307693,0.019230769230769273
3498,181,20,161,XGBoost,0.9745341614906832,0.9773291925465839,0.002795031055900732,0.7455055955396513,0.8604717844075429,0.11496618886789156,0.7922788034493561,0.7272005173616334,-0.0650782860877227,0.8085106382978723,0.7555555555555555,-0.05295508274231675
3499,181,20,161,Logistic Regression,0.9692546583850932,0.9791925465838509,0.009937888198757738,0.7492659289412127,0.9014089814554211,0.15214305251420845,0.6296713389725407,0.7143430755136987,0.084671736541158,0.6440677966101694,0.7307692307692307,0.08670143415906129
3499,181,20,161,RBF-SVM,0.9822981366459628,0.9885093167701863,0.006211180124223503,0.8696892274865421,0.9258944705404526,0.0562052430539105,0.7751557946778821,0.7433414588743005,-0.03181433580358162,0.7916666666666666,0.76,-0.03166666666666662
3499,181,20,161,Random Forest,0.9785714285714286,0.9934782608695653,0.014906832298136607,0.7761631715116369,0.9627884615384615,0.1866252900268246,0.8103145479569674,0.7285186322821915,-0.08179591567477595,0.8260869565217391,0.7450980392156863,-0.08098891730605284
3499,181,20,161,XGBoost,0.9826086956521739,0.9919254658385094,0.009316770186335477,0.8684697159565581,0.9525392929495314,0.08406957699297335,0.8293528601186808,0.7975333605374973,-0.031819499581183464,0.8444444444444444,0.8181818181818182,-0.02626262626262621
3500,181,20,161,Logistic Regression,0.9456521739130436,0.9568322981366459,0.011180124223602372,0.5905334089630518,0.8340126215062829,0.24347921254323102,0.5539088204364645,0.7650385599847027,0.21112973954823822,0.5862068965517241,0.7906976744186046,0.20449077786688052
