principal_component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio,singular_value
277,0.1001755165746847,7.815342485163184e-05,0.9902465324940153,8.486824872542044
278,0.09940556606737927,7.75527364681853e-05,0.9903240852304834,8.45414702985734
279,0.09740954525702385,7.59955110328854e-05,0.9904000807415163,8.368838810719211
280,0.09707531203636899,7.57347539957715e-05,0.9904758154955121,8.354468825374196
281,0.09612346164028505,7.499215369837368e-05,0.9905508076492104,8.313408983044498
282,0.09593155815999775,7.484243733315565e-05,0.9906256500865436,8.305106279695545
283,0.09539827168271064,7.44263859260638e-05,0.9907000764724696,8.281989938406648
284,0.09420485964460601,7.349532770718746e-05,0.9907735718001768,8.23002394191364
285,0.0932246416958524,7.27305960400538e-05,0.9908463023962168,8.187094562744337
286,0.09300846333275392,7.256194126259258e-05,0.9909188643374794,8.177596537874075
287,0.09217664125528295,7.191298284995401e-05,0.9909907773203294,8.140946201919556
288,0.09181262168635285,7.162898754853031e-05,0.9910624063078779,8.124855382866066
289,0.09076793039335168,7.08139560393107e-05,0.9911332202639173,8.078498743753066
290,0.09004274279611363,7.024819010845247e-05,0.9912034684540257,8.046162567982684
291,0.08962455027278862,6.992193096786867e-05,0.9912733903849936,8.027456112999623
292,0.08796798979782156,6.862954058128153e-05,0.9913420199255749,7.95292302644969
293,0.08748604980598289,6.825354790140273e-05,0.9914102734734763,7.931107729094448
294,0.0868458182874282,6.775406172370274e-05,0.9914780275352,7.902034127277664
295,0.08617366298942704,6.722966973285341e-05,0.9915452572049328,7.871395282248125
296,0.0849499687510126,6.627498640329956e-05,0.9916115321913361,7.815307257682071
297,0.08466081228316748,6.604939666787504e-05,0.991677581588004,7.801994875132732
298,0.08415602217920166,6.565557713187367e-05,0.9917432371651359,7.778700402178117
299,0.08352085356492382,6.51600408545332e-05,0.9918083972059905,7.749289884446202
300,0.08223210006008012,6.415460056695566e-05,0.9918725518065574,7.689270442844211
301,0.08189725138287904,6.389336337222861e-05,0.9919364451699296,7.673599138884571
302,0.08047115915155918,6.27807762267572e-05,0.9919992259461564,7.606494818901217
303,0.08018290215575141,6.255588822787153e-05,0.9920617818343843,7.592858924672924
304,0.0795684378709184,6.207650474225799e-05,0.9921238583391265,7.563709858871526
305,0.07909143497824223,6.170436381400048e-05,0.9921855627029406,7.541004027936609
306,0.0783650030027822,6.113762706289413e-05,0.9922467003300035,7.506293170333836
