model,representation,classifier,threshold,n,active,inactive,prevalence,TN,FP,FN,TP,predicted_positive_count,sensitivity,specificity,precision,net_benefit,standardized_net_benefit,treat_all_net_benefit,treat_none_net_benefit,beats_treat_all,beats_treat_none,beats_both
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.39,181,20,161,0.11049723756906077,150,11,1,19,30,0.95,0.9316770186335404,0.6333333333333333,0.06611719952902817,0.5983606557377049,-0.45820124988678573,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.4,181,20,161,0.11049723756906077,150,11,1,19,30,0.95,0.9316770186335404,0.6333333333333333,0.06445672191528545,0.5833333333333334,-0.48250460405156553,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.41,181,20,161,0.11049723756906077,150,11,1,19,30,0.95,0.9316770186335404,0.6333333333333333,0.0627399569248057,0.5677966101694917,-0.5076318007304053,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.42,181,20,161,0.11049723756906077,150,11,1,19,30,0.95,0.9316770186335404,0.6333333333333333,0.06096399314155077,0.5517241379310345,-0.5336254524671364,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.43,181,20,161,0.11049723756906077,151,10,1,19,29,0.95,0.937888198757764,0.6551724137931034,0.06329359309876903,0.5728070175438598,-0.5605311621595426,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.44,181,20,161,0.11049723756906077,151,10,1,19,29,0.95,0.937888198757764,0.6551724137931034,0.06156274664561957,0.5571428571428572,-0.5883977900552486,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.45,181,20,161,0.11049723756906077,151,10,1,19,29,0.95,0.937888198757764,0.6551724137931034,0.05976896032144651,0.5409090909090909,-0.6172777498744351,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.46,181,20,161,0.11049723756906077,151,10,1,19,29,0.95,0.937888198757764,0.6551724137931034,0.05790873746674852,0.5240740740740741,-0.6472273378350728,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.47,181,20,161,0.11049723756906077,151,10,1,19,29,0.95,0.937888198757764,0.6551724137931034,0.055978317523193995,0.5066037735849057,-0.6783070989263005,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.48,181,20,161,0.11049723756906077,151,10,1,19,29,0.95,0.937888198757764,0.6551724137931034,0.05397365065873353,0.4884615384615385,-0.7105822354441138,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.49,181,20,161,0.11049723756906077,151,10,1,19,29,0.95,0.937888198757764,0.6551724137931034,0.05189036940743148,0.46960784313725495,-0.7441230635900768,0.0,True,True,True
ESM-2 RBF-SVM,ESM-2,RBF-SVM,0.5,181,20,161,0.11049723756906077,151,10,2,18,28,0.9,0.937888198757764,0.6428571428571429,0.04419889502762431,0.4,-0.7790055248618786,0.0,True,True,True
