representation,pca_components,C,gamma,fold,train_n,validation_n,scaler_fit_samples,pca_fit_samples,output_dimensions,validation_AUROC,validation_AUPRC,validation_MCC,validation_F1,fit_warnings,locked_test_rows_used
pca_24,24.0,100.0,0.01,3,576,144,576,576.0,24,0.9560546875,0.8909789625602446,0.7302967433402214,0.72,1,0
pca_24,24.0,100.0,0.01,4,576,144,576,576.0,24,0.9716796875,0.8408929714076774,0.6929023281557339,0.7142857142857143,1,0
pca_24,24.0,100.0,0.01,5,576,144,576,576.0,24,0.9720930232558139,0.891820942215679,0.7577876742923962,0.7692307692307693,1,0
pca_24,24.0,100.0,0.1,1,576,144,576,576.0,24,0.82470703125,0.669421082020816,0.23652495839563303,0.11764705882352941,1,0
pca_24,24.0,100.0,0.1,2,576,144,576,576.0,24,0.8369140625,0.5901577092085248,0.0,0.0,1,0
pca_24,24.0,100.0,0.1,3,576,144,576,576.0,24,0.902587890625,0.7624447400285559,0.33567254331867563,0.2222222222222222,1,0
pca_24,24.0,100.0,0.1,4,576,144,576,576.0,24,0.951416015625,0.7237914913925942,0.34362822518363817,0.3,1,0
pca_24,24.0,100.0,0.1,5,576,144,576,576.0,24,0.8545219638242895,0.7770535085447368,0.0,0.0,1,0
pca_52,52.0,0.1,scale,1,576,144,576,576.0,52,0.96484375,0.7073822315909911,0.5803810000880093,0.6285714285714286,1,0
pca_52,52.0,0.1,scale,2,576,144,576,576.0,52,0.96435546875,0.7900550629026029,0.5608623113189765,0.6111111111111112,1,0
pca_52,52.0,0.1,scale,3,576,144,576,576.0,52,0.97705078125,0.8344878181015489,0.688653724024566,0.7222222222222222,1,0
pca_52,52.0,0.1,scale,4,576,144,576,576.0,52,0.98828125,0.8780928375137935,0.8685990362153793,0.8823529411764706,1,0
pca_52,52.0,0.1,scale,5,576,144,576,576.0,52,0.9736434108527132,0.8458244498216447,0.6059500971167827,0.6470588235294118,1,0
pca_52,52.0,0.1,0.001,1,576,144,576,576.0,52,0.96435546875,0.700352175250273,0.5803810000880093,0.6285714285714286,1,0
pca_52,52.0,0.1,0.001,2,576,144,576,576.0,52,0.9658203125,0.7987939751341623,0.5608623113189765,0.6111111111111112,1,0
pca_52,52.0,0.1,0.001,3,576,144,576,576.0,52,0.97900390625,0.8541137650712459,0.6456738625979104,0.6857142857142857,1,0
pca_52,52.0,0.1,0.001,4,576,144,576,576.0,52,0.98779296875,0.8624678375137935,0.8685990362153793,0.8823529411764706,1,0
pca_52,52.0,0.1,0.001,5,576,144,576,576.0,52,0.9736434108527132,0.8505863545835495,0.6059500971167827,0.6470588235294118,1,0
pca_52,52.0,0.1,0.01,1,576,144,576,576.0,52,0.9482421875,0.7549213101275752,0.0,0.0,1,0
pca_52,52.0,0.1,0.01,2,576,144,576,576.0,52,0.9755859375,0.775809868128947,0.0,0.0,1,0
pca_52,52.0,0.1,0.01,3,576,144,576,576.0,52,0.95556640625,0.8212764102082988,0.0,0.0,1,0
pca_52,52.0,0.1,0.01,4,576,144,576,576.0,52,0.96435546875,0.7757507929595611,0.0,0.0,1,0
pca_52,52.0,0.1,0.01,5,576,144,576,576.0,52,0.9834625322997416,0.8859230071613973,0.0,0.0,1,0
pca_52,52.0,0.1,0.1,1,576,144,576,576.0,52,0.2841796875,0.17111932046022055,0.0,0.0,1,0
pca_52,52.0,0.1,0.1,2,576,144,576,576.0,52,0.234375,0.10484837587864021,0.0,0.0,1,0
pca_52,52.0,0.1,0.1,3,576,144,576,576.0,52,0.145263671875,0.06723382922926746,0.0,0.0,1,0
pca_52,52.0,0.1,0.1,4,576,144,576,576.0,52,0.11279296875,0.06471061792799189,0.0,0.0,1,0
pca_52,52.0,0.1,0.1,5,576,144,576,576.0,52,0.255297157622739,0.12167301198883276,0.0,0.0,1,0
